 
                                                                                                                                                                                                                                                                
 
The FREQ Procedure

                                    Cumulative    Cumulative
cluster    Frequency     Percent     Frequency      Percent
------------------------------------------------------------
      1          59        8.75            59         8.75  
      2         174       25.82           233        34.57  
      3          63        9.35           296        43.92  
      4          86       12.76           382        56.68  
      5          80       11.87           462        68.55  
      6          47        6.97           509        75.52  
      7          64        9.50           573        85.01  
      8         101       14.99           674       100.00  
