 
                                                                                                                                                                                                                                                                
 
The FREQ Procedure

                                    Cumulative    Cumulative
cluster    Frequency     Percent     Frequency      Percent
------------------------------------------------------------
      1         137       20.33           137        20.33  
      2          53        7.86           190        28.19  
      3          85       12.61           275        40.80  
      4          21        3.12           296        43.92  
      5          55        8.16           351        52.08  
      6          90       13.35           441        65.43  
      7          85       12.61           526        78.04  
      8         148       21.96           674       100.00  
